,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
1625,Oljato,2.174,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1626,Konnohmaru,2.8289999999999997,0,AMO,0.0,zero,E_No Metal identified,0.0
1627,1994 LX,1.261,0,APO,0.0,zero,E_No Metal identified,0.0
1628,1998 OH,1.5419999999999998,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1629,1999 XO35,2.541,0,AMO,0.0,zero,E_No Metal identified,0.0
1630,1999 GJ4,1.339,0,APO,0.0,zero,E_No Metal identified,0.0
1631,Karayusuf,1.578,0,MCA,0.0,zero,E_No Metal identified,0.0
1632,1991 CS,1.123,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1633,Krok,2.151,0,AMO,0.0,zero,E_No Metal identified,0.0
1634,1993 UB,2.276,0,AMO,0.0,zero,E_No Metal identified,0.0
1635,1991 VK,1.8419999999999999,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1636,2000 OJ8,2.3569999999999998,0,AMO (PHA),0.0,zero,E_No Metal identified,0.0
1637,2000 GO82,2.162,0,APO,0.0,zero,E_No Metal identified,0.0
1638,1999 CU3,1.577,0,APO,0.0,zero,E_No Metal identified,0.0
1639,2000 VN2,1.974,0,AMO,0.0,zero,E_No Metal identified,0.0
1640,2000 GR146,1.463,0,APO,0.0,zero,E_No Metal identified,0.0
1641,1999 JO8,2.6510000000000002,0,AMO,0.0,zero,E_No Metal identified,0.0
1642,2001 VG5,2.306,0,APO,0.0,zero,E_No Metal identified,0.0
1643,Tjelvar,1.248,0,APO,0.0,zero,E_No Metal identified,0.0
1644,1993 VW,1.696,0,APO,0.0,zero,E_No Metal identified,0.0
1645,1989 VA,0.7290000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
1646,2001 DU8,1.777,0,AMO,0.0,zero,E_No Metal identified,0.0
1647,1999 WK13,1.845,0,AMO,0.0,zero,E_No Metal identified,0.0
1648,1999 KW4,0.642,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1649,1998 YP11,1.7209999999999999,0,AMO,0.0,zero,E_No Metal identified,0.0
1650,2001 WG2,1.794,0,APO,0.0,zero,E_No Metal identified,0.0
1651,2001 EB,1.629,0,AMO,0.0,zero,E_No Metal identified,0.0
1652,1998 PB1,2.03,0,AMO,0.0,zero,E_No Metal identified,0.0
1653,Norwan,1.568,0,AMO,0.0,zero,E_No Metal identified,0.0
1654,1998 WM,1.225,0,APO,0.0,zero,E_No Metal identified,0.0
1655,2001 MF1,2.6510000000000002,0,AMO,0.0,zero,E_No Metal identified,0.0
1656,Cerberus,1.08,0,APO,0.0,zero,E_No Metal identified,0.0
1657,1998 WZ6,1.452,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1658,1998 PG,2.015,0,AMO,0.0,zero,E_No Metal identified,0.0
1659,Yuliya,1.72,0,AMO,0.0,zero,E_No Metal identified,0.0
1660,Bacchus,1.078,0,APO,0.0,zero,E_No Metal identified,0.0
1661,1998 MQ,1.7830000000000001,0,AMO,0.0,zero,E_No Metal identified,0.0
1662,Vesta,2.3609999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1663,2001 XR1,1.245,0,APO,0.0,zero,E_No Metal identified,0.0
1664,Aten,0.9670000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
1665,2001 UA5,1.787,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1666,1994 PC1,1.3459999999999999,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1667,2001 XN254,2.325,0,AMO (PHA),0.0,zero,E_No Metal identified,0.0
1668,2000 XL44,2.224,0,AMO,0.0,zero,E_No Metal identified,0.0
1669,Nyx,1.9269999999999998,0,AMO,0.0,zero,E_No Metal identified,0.0
1670,2000 AX93,2.21,0,AMO,0.0,zero,E_No Metal identified,0.0
1671,1991 TB1,1.454,0,APO,0.0,zero,E_No Metal identified,0.0
1672,1992 SK,1.248,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1673,1997 GH3,2.502,0,AMO,0.0,zero,E_No Metal identified,0.0
1674,1991 VH,1.137,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1675,2001 OE84,2.279,0,AMO,0.0,zero,E_No Metal identified,0.0
1676,2000 JQ66,2.166,0,AMO,0.0,zero,E_No Metal identified,0.0
1677,2000 EX106,1.104,0,APO,0.0,zero,E_No Metal identified,0.0
1678,Verenia,2.093,0,AMO,0.0,zero,E_No Metal identified,0.0
1679,1998 XB,0.9079999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
1680,1995 WL8,2.365,0,AMO,0.0,zero,E_No Metal identified,0.0
1681,Ninkasi,1.37,0,AMO,0.0,zero,E_No Metal identified,0.0
1682,2002 AL14,1.038,0,APO,0.0,zero,E_No Metal identified,0.0
1683,1998 QR15,2.765,0,AMO,0.0,zero,E_No Metal identified,0.0
1684,1997 BQ,1.746,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1685,1994 AW1,1.105,0,AMO (PHA),0.0,zero,E_No Metal identified,0.0
1686,2000 GK137,1.996,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1687,2002 BK25,2.298,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1688,2000 JG5,1.341,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1689,1998 FX2,2.153,0,AMO,0.0,zero,E_No Metal identified,0.0
1690,Tomaiyowit,1.08,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1691,1999 EE5,1.669,0,AMO,0.0,zero,E_No Metal identified,0.0
1692,1999 YF3,1.4869999999999999,0,AMO,0.0,zero,E_No Metal identified,0.0
1693,2000 WF6,2.46,0,AMO,0.0,zero,E_No Metal identified,0.0
1694,2001 QQ142,1.423,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1695,2001 EC,2.589,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1696,2000 GU127,2.105,0,APO,0.0,zero,E_No Metal identified,0.0
1697,1999 YB,1.321,0,AMO,0.0,zero,E_No Metal identified,0.0
1698,2002 AQ2,2.66,0,AMO,0.0,zero,E_No Metal identified,0.0
1699,2001 WA25,1.756,0,APO,0.0,zero,E_No Metal identified,0.0
1700,1999 DJ4,1.8530000000000002,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1701,1997 UH9,0.83,0,ATE,0.0,zero,E_No Metal identified,0.0
1702,1998 VR,0.8759999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
1703,1980 WF,2.235,0,AMO,0.0,zero,E_No Metal identified,0.0
1704,2001 WL15,1.9880000000000002,0,AMO,0.0,zero,E_No Metal identified,0.0
1705,1999 JV3,1.4509999999999998,0,APO,0.0,zero,E_No Metal identified,0.0
1706,Saunders,2.305,0,AMO,0.0,zero,E_No Metal identified,0.0
1707,1999 FK21,0.7390000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
1708,1999 DB2,3.037,0,AMO,0.0,zero,E_No Metal identified,0.0
1709,1998 WP5,1.374,0,AMO,0.0,zero,E_No Metal identified,0.0
1710,1997 BR,1.335,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1711,Eunomia,2.6439999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1712,1992 FE,0.927,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1713,1998 MW5,1.023,0,APO,0.0,zero,E_No Metal identified,0.0
1714,1999 YG3,1.285,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1715,Juno,2.6689999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1716,2000 GJ147,1.162,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1717,1997 GL3,2.276,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1718,2001 JM1,1.4609999999999999,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1719,2000 GD2,0.758,0,ATE,0.0,zero,E_No Metal identified,0.0
1720,2001 TC45,2.22,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1721,2000 GV127,2.844,0,AMO,0.0,zero,E_No Metal identified,0.0
1722,1994 TF2,0.993,0,ATE,0.0,zero,E_No Metal identified,0.0
1723,1999 ND43,1.5230000000000001,0,AMO,0.0,zero,E_No Metal identified,0.0
1724,1998 SG2,2.248,0,AMO,0.0,zero,E_No Metal identified,0.0
1725,1997 TT25,2.123,0,AMO,0.0,zero,E_No Metal identified,0.0
1726,2001 XY10,0.872,0,ATE,0.0,zero,E_No Metal identified,0.0
1727,1998 SU27,2.124,0,APO,0.0,zero,E_No Metal identified,0.0
1728,1998 BG9,2.51,0,AMO,0.0,zero,E_No Metal identified,0.0
1729,2000 SY162,2.293,0,AMO,0.0,zero,E_No Metal identified,0.0
1730,2002 AA,1.148,0,APO,0.0,zero,E_No Metal identified,0.0
1731,Hebe,2.425,0,MBA,0.0,zero,E_No Metal identified,0.0
1732,Iris,2.385,0,MBA,0.0,zero,E_No Metal identified,0.0
1733,Mnemosyne,3.1510000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1734,Amphitrite,2.5540000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1735,2001 QA143,2.259,0,AMO,0.0,zero,E_No Metal identified,0.0
1736,2000 KL33,2.113,0,AMO,0.0,zero,E_No Metal identified,0.0
1737,1999 SK10,1.7630000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
1738,1999 CV8,1.297,0,APO,0.0,zero,E_No Metal identified,0.0
1739,1999 JE1,1.3230000000000002,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1740,2001 XU30,2.1919999999999997,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1741,2000 WL63,1.432,0,APO,0.0,zero,E_No Metal identified,0.0
1742,2000 MU1,1.3730000000000002,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1743,1999 RB32,2.43,0,AMO,0.0,zero,E_No Metal identified,0.0
1744,Polyhymnia,2.873,0,MBA,0.0,zero,E_No Metal identified,0.0
1745,Apophis,0.922,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1746,2001 FY,1.886,0,AMO,0.0,zero,E_No Metal identified,0.0
1747,Parthenope,2.4530000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1748,Atala,3.137,0,MBA,0.0,zero,E_No Metal identified,0.0
1749,Massalia,2.41,0,MBA,0.0,zero,E_No Metal identified,0.0
1750,Philomela,3.113,0,MBA,0.0,zero,E_No Metal identified,0.0
1751,Gallia,2.772,0,MBA,0.0,zero,E_No Metal identified,0.0
1752,Hathor,0.8440000000000001,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1753,2000 YF29,1.492,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1754,2000 DO1,1.43,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1755,1998 BB10,1.272,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1756,Laetitia,2.7689999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1757,1998 VD35,1.565,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1758,1993 TQ2,1.985,0,AMO,0.0,zero,E_No Metal identified,0.0
1759,Irene,2.5860000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1760,1999 AQ10,0.934,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1761,Melpomene,2.2969999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1762,2000 WM63,1.03,0,APO,0.0,zero,E_No Metal identified,0.0
1763,Euterpe,2.347,0,MBA,0.0,zero,E_No Metal identified,0.0
1764,Danae,2.986,0,MBA,0.0,zero,E_No Metal identified,0.0
1765,Astraea,2.574,0,MBA,0.0,zero,E_No Metal identified,0.0
1766,1999 FA,1.078,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1767,2002 DU3,1.145,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1768,Bellona,2.7760000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1769,1996 FQ3,2.032,0,AMO,0.0,zero,E_No Metal identified,0.0
1770,Urania,2.366,0,MBA,0.0,zero,E_No Metal identified,0.0
1771,Nausikaa,2.403,0,MBA,0.0,zero,E_No Metal identified,0.0
1772,Thalia,2.6260000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1773,2000 WJ63,2.8369999999999997,0,AMO,0.0,zero,E_No Metal identified,0.0
1774,Athamantis,2.3819999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1775,1999 YD,2.4619999999999997,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1776,Thetis,2.47,0,MBA,0.0,zero,E_No Metal identified,0.0
1777,Ariadne,2.2030000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1778,2001 JV1,1.705,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1779,Asia,2.421,0,MBA,0.0,zero,E_No Metal identified,0.0
1780,2002 BA1,2.062,0,AMO,0.0,zero,E_No Metal identified,0.0
1781,2002 AK14,1.0170000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
1782,Ausonia,2.395,0,MBA,0.0,zero,E_No Metal identified,0.0
1783,2002 CT46,2.364,0,AMO,0.0,zero,E_No Metal identified,0.0
1784,1999 DY2,2.039,0,AMO,0.0,zero,E_No Metal identified,0.0
1785,2000 AH205,1.1440000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
1786,1999 FN19,1.6469999999999998,0,APO,0.0,zero,E_No Metal identified,0.0
1787,2000 AE205,1.165,0,APO,0.0,zero,E_No Metal identified,0.0
1788,2000 YA,2.386,0,APO,0.0,zero,E_No Metal identified,0.0
1789,2002 DQ3,1.3869999999999998,0,AMO,0.0,zero,E_No Metal identified,0.0
1790,Itokawa,1.324,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1791,2000 DO8,2.4730000000000003,0,APO,0.0,zero,E_No Metal identified,0.0
1792,2009 DD45,1.2409999999999999,0,APO,0.0,zero,E_No Metal identified,0.0
1793,1998 BT13,2.456,0,APO,0.0,zero,E_No Metal identified,0.0
1794,5154 T-3,3.091,0,MBA,0.0,zero,E_No Metal identified,0.0
1795,4658 T-3,2.134,0,MBA,0.0,zero,E_No Metal identified,0.0
1796,4571 T-3,2.546,0,MBA,0.0,zero,E_No Metal identified,0.0
1797,3521 T-3,2.4330000000000003,0,MCA,0.0,zero,E_No Metal identified,0.0
1798,3411 T-3,2.4819999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1799,2678 T-3,2.26,0,MBA,0.0,zero,E_No Metal identified,0.0
1800,2620 T-3,3.265,0,OMB,0.0,zero,E_No Metal identified,0.0
1801,2060 T-2,2.373,0,MBA,0.0,zero,E_No Metal identified,0.0
1802,1168 T-2,2.645,0,MBA,0.0,zero,E_No Metal identified,0.0
1803,1077 T-2,2.6519999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1804,6879 P-L,3.054,0,MBA,0.0,zero,E_No Metal identified,0.0
1805,6344 P-L,2.813,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1806,6331 P-L,2.335,0,MBA,0.0,zero,E_No Metal identified,0.0
1807,6013 P-L,2.28,0,MBA,0.0,zero,E_No Metal identified,0.0
1808,4847 P-L,2.722,0,MBA,0.0,zero,E_No Metal identified,0.0
1809,4717 P-L,2.9539999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1810,4532 P-L,2.325,0,MBA,0.0,zero,E_No Metal identified,0.0
1811,4198 P-L,2.229,0,MCA,0.0,zero,E_No Metal identified,0.0
1812,2181 P-L,3.022,0,MBA,0.0,zero,E_No Metal identified,0.0
1813,2018 VB1,0.755,0,ATE,0.0,zero,E_No Metal identified,0.0
1814,2018 VA1,1.374,0,APO,0.0,zero,E_No Metal identified,0.0
1815,2018 VZ,1.33,0,APO,0.0,zero,E_No Metal identified,0.0
1816,2018 VY,1.713,0,APO,0.0,zero,E_No Metal identified,0.0
1817,2018 VX,1.544,0,APO,0.0,zero,E_No Metal identified,0.0
1818,2018 VW,1.444,0,APO,0.0,zero,E_No Metal identified,0.0
1819,2018 VV,1.556,0,AMO,0.0,zero,E_No Metal identified,0.0
1820,2018 VU,1.235,0,APO,0.0,zero,E_No Metal identified,0.0
1821,2018 VT,1.281,0,APO,0.0,zero,E_No Metal identified,0.0
1822,2018 VS,2.003,0,AMO,0.0,zero,E_No Metal identified,0.0
1823,2018 VR,1.757,0,APO,0.0,zero,E_No Metal identified,0.0
1824,2018 VQ,2.637,0,MBA,0.0,zero,E_No Metal identified,0.0
1825,2018 VP,2.082,0,MCA,0.0,zero,E_No Metal identified,0.0
1826,2018 VO,2.252,0,MCA,0.0,zero,E_No Metal identified,0.0
1827,2018 VN,1.749,0,IMB,0.0,zero,E_No Metal identified,0.0
1828,2018 VM,1.7309999999999999,0,MCA,0.0,zero,E_No Metal identified,0.0
1829,2018 VL,1.036,0,APO,0.0,zero,E_No Metal identified,0.0
1830,2018 VK,1.8319999999999999,0,APO,0.0,zero,E_No Metal identified,0.0
1831,2018 VJ,2.588,0,MCA,0.0,zero,E_No Metal identified,0.0
1832,2018 VH,1.767,0,MCA,0.0,zero,E_No Metal identified,0.0
1833,2018 VG,0.7659999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
1834,2018 VF,1.85,0,APO,0.0,zero,E_No Metal identified,0.0
1835,2018 VE,1.247,0,AMO,0.0,zero,E_No Metal identified,0.0
1836,2018 VD,1.068,0,APO,0.0,zero,E_No Metal identified,0.0
1837,2018 VC,1.126,0,APO,0.0,zero,E_No Metal identified,0.0
1838,2018 VB,1.115,0,APO,0.0,zero,E_No Metal identified,0.0
1839,2018 VA,1.196,0,AMO,0.0,zero,E_No Metal identified,0.0
1840,2018 UH3,3.092,0,MBA,0.0,zero,E_No Metal identified,0.0
1841,2018 UG3,1.659,0,APO,0.0,zero,E_No Metal identified,0.0
1842,2018 UF3,2.278,0,MBA,0.0,zero,E_No Metal identified,0.0
1843,2018 UE3,1.504,0,APO,0.0,zero,E_No Metal identified,0.0
1844,2018 UD3,1.7730000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
1845,2018 UC3,1.068,0,AMO,0.0,zero,E_No Metal identified,0.0
1846,2018 UB3,1.6230000000000002,0,APO,0.0,zero,E_No Metal identified,0.0
1847,2018 UA3,1.198,0,APO,0.0,zero,E_No Metal identified,0.0
1848,2018 UZ2,1.932,0,IMB,0.0,zero,E_No Metal identified,0.0
1849,2018 UY2,2.562,0,MCA,0.0,zero,E_No Metal identified,0.0
1850,2018 UX2,1.8430000000000002,0,MCA,0.0,zero,E_No Metal identified,0.0
1851,2018 UW2,1.869,0,IMB,0.0,zero,E_No Metal identified,0.0
1852,2018 UV2,1.912,0,IMB,0.0,zero,E_No Metal identified,0.0
1853,2018 UU2,1.8869999999999998,0,IMB,0.0,zero,E_No Metal identified,0.0
1854,2018 UT2,2.61,0,MCA,0.0,zero,E_No Metal identified,0.0
1855,2018 US2,2.978,0,AMO,0.0,zero,E_No Metal identified,0.0
1856,2018 UR2,1.811,0,AMO,0.0,zero,E_No Metal identified,0.0
1857,2018 UQ2,2.798,0,APO,0.0,zero,E_No Metal identified,0.0
1858,2018 UP2,2.491,0,MCA,0.0,zero,E_No Metal identified,0.0
1859,2018 UO2,1.953,0,IMB,0.0,zero,E_No Metal identified,0.0
1860,2018 UN2,2.388,0,MBA,0.0,zero,E_No Metal identified,0.0
1861,2018 UM2,2.612,0,MCA,0.0,zero,E_No Metal identified,0.0
1862,2018 UL2,2.681,0,MBA,0.0,zero,E_No Metal identified,0.0
1863,2018 UK2,1.482,0,AMO,0.0,zero,E_No Metal identified,0.0
1864,2018 UJ2,1.969,0,APO,0.0,zero,E_No Metal identified,0.0
1865,2018 UE2,1.986,0,IMB,0.0,zero,E_No Metal identified,0.0
1866,2018 UD2,2.608,0,MCA,0.0,zero,E_No Metal identified,0.0
1867,2018 UC2,1.577,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1868,2018 UB2,1.889,0,IMB,0.0,zero,E_No Metal identified,0.0
1869,2018 UA2,2.309,0,MCA,0.0,zero,E_No Metal identified,0.0
1870,2018 UZ1,2.468,0,AMO,0.0,zero,E_No Metal identified,0.0
1871,2018 UY1,0.883,0,ATE,0.0,zero,E_No Metal identified,0.0
1872,2018 UX1,1.213,0,AMO,0.0,zero,E_No Metal identified,0.0
1873,2018 UW1,1.962,0,APO,0.0,zero,E_No Metal identified,0.0
1874,2018 UV1,0.935,0,ATE,0.0,zero,E_No Metal identified,0.0
1875,2018 UU1,2.414,0,MCA,0.0,zero,E_No Metal identified,0.0
1876,2018 UT1,2.679,0,MCA,0.0,zero,E_No Metal identified,0.0
1877,2018 US1,1.656,0,APO,0.0,zero,E_No Metal identified,0.0
1878,2018 UR1,2.6310000000000002,0,AMO,0.0,zero,E_No Metal identified,0.0
1879,2018 UQ1,1.619,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1880,2018 UP1,2.609,0,MCA,0.0,zero,E_No Metal identified,0.0
1881,2018 UO1,2.103,0,APO,0.0,zero,E_No Metal identified,0.0
1882,2018 UN1,2.253,0,APO,0.0,zero,E_No Metal identified,0.0
1883,2018 UM1,1.1440000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
1884,2018 UL1,1.263,0,APO,0.0,zero,E_No Metal identified,0.0
1885,2018 UK1,2.443,0,APO,0.0,zero,E_No Metal identified,0.0
1886,2018 UJ1,1.296,0,AMO,0.0,zero,E_No Metal identified,0.0
1887,2018 UH1,1.767,0,APO,0.0,zero,E_No Metal identified,0.0
1888,2018 UG1,1.5290000000000001,0,AMO,0.0,zero,E_No Metal identified,0.0
1889,2018 UF1,1.148,0,APO,0.0,zero,E_No Metal identified,0.0
1890,2018 UE1,1.021,0,APO,0.0,zero,E_No Metal identified,0.0
1891,2018 UD1,2.364,0,APO,0.0,zero,E_No Metal identified,0.0
1892,2018 UC1,1.258,0,AMO,0.0,zero,E_No Metal identified,0.0
1893,2018 UB1,7.569,0,CEN,0.0,zero,E_No Metal identified,0.0
1894,2018 UA1,2.529,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1895,2018 UZ,2.656,0,AMO,0.0,zero,E_No Metal identified,0.0
1896,2018 UY,1.25,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1897,2018 UX,2.59,0,MCA,0.0,zero,E_No Metal identified,0.0
1898,2018 UW,2.6319999999999997,0,MCA,0.0,zero,E_No Metal identified,0.0
1899,2018 UV,3.0610000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1900,2018 UU,2.272,0,MCA,0.0,zero,E_No Metal identified,0.0
1901,2018 UT,2.2159999999999997,0,MCA,0.0,zero,E_No Metal identified,0.0
1902,2018 US,2.187,0,MCA,0.0,zero,E_No Metal identified,0.0
1903,2018 UR,2.188,0,MCA,0.0,zero,E_No Metal identified,0.0
1904,2018 UQ,1.734,0,MCA,0.0,zero,E_No Metal identified,0.0
1905,2018 UP,2.273,0,MCA,0.0,zero,E_No Metal identified,0.0
1906,2018 UO,2.245,0,MCA,0.0,zero,E_No Metal identified,0.0
1907,2018 UN,1.9240000000000002,0,IMB,0.0,zero,E_No Metal identified,0.0
1908,2018 UM,1.954,0,IMB,0.0,zero,E_No Metal identified,0.0
1909,2018 UL,1.344,0,APO,0.0,zero,E_No Metal identified,0.0
1910,2018 UK,2.4130000000000003,0,APO,0.0,zero,E_No Metal identified,0.0
1911,2018 UJ,2.463,0,AMO,0.0,zero,E_No Metal identified,0.0
1912,2018 UH,2.475,0,APO,0.0,zero,E_No Metal identified,0.0
1913,2018 UG,2.1919999999999997,0,APO,0.0,zero,E_No Metal identified,0.0
1914,2018 UF,1.62,0,AMO,0.0,zero,E_No Metal identified,0.0
1915,2018 UE,1.266,0,APO,0.0,zero,E_No Metal identified,0.0
1916,2018 UD,2.7430000000000003,0,AMO,0.0,zero,E_No Metal identified,0.0
1917,2018 UC,0.993,0,ATE,0.0,zero,E_No Metal identified,0.0
1918,2018 UB,1.944,0,APO,0.0,zero,E_No Metal identified,0.0
1919,2018 UA,1.39,0,APO,0.0,zero,E_No Metal identified,0.0
1920,2018 TS9,2.32,0,MBA,0.0,zero,E_No Metal identified,0.0
1921,2018 TR9,2.408,0,MBA,0.0,zero,E_No Metal identified,0.0
1922,2018 TP9,2.376,0,MBA,0.0,zero,E_No Metal identified,0.0
1923,2018 TO9,3.2039999999999997,0,OMB,0.0,zero,E_No Metal identified,0.0
1924,2018 TN9,2.2119999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1925,2018 TK9,2.523,0,MBA,0.0,zero,E_No Metal identified,0.0
1926,2018 TJ9,2.594,0,MBA,0.0,zero,E_No Metal identified,0.0
1927,2018 TH9,2.636,0,MBA,0.0,zero,E_No Metal identified,0.0
1928,2018 TG9,2.68,0,MBA,0.0,zero,E_No Metal identified,0.0
1929,2018 TF9,2.7939999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1930,2018 TE9,2.6319999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1931,2018 TD9,2.7310000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1932,2018 TC9,2.682,0,MBA,0.0,zero,E_No Metal identified,0.0
1933,2018 TB9,2.7539999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1934,2018 TA9,3.2689999999999997,0,OMB,0.0,zero,E_No Metal identified,0.0
1935,2018 TZ8,2.853,0,MBA,0.0,zero,E_No Metal identified,0.0
1936,2018 TW8,3.048,0,MBA,0.0,zero,E_No Metal identified,0.0
1937,2018 TV8,2.7319999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1938,2018 TU8,2.425,0,MBA,0.0,zero,E_No Metal identified,0.0
1939,2018 TT8,3.102,0,MBA,0.0,zero,E_No Metal identified,0.0
1940,2018 TS8,2.761,0,MBA,0.0,zero,E_No Metal identified,0.0
1941,2018 TR8,2.694,0,MBA,0.0,zero,E_No Metal identified,0.0
1942,2018 TO8,2.8139999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1943,2018 TN8,3.042,0,MBA,0.0,zero,E_No Metal identified,0.0
1944,2018 TL8,2.6689999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1945,2018 TK8,2.1919999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1946,2018 TJ8,2.76,0,MBA,0.0,zero,E_No Metal identified,0.0
1947,2018 TH8,3.0589999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1948,2018 TG8,2.208,0,MCA,0.0,zero,E_No Metal identified,0.0
1949,2018 TF8,2.592,0,MBA,0.0,zero,E_No Metal identified,0.0
1950,2018 TC8,2.5669999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1951,2018 TZ7,3.0610000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1952,2018 TY7,2.557,0,MBA,0.0,zero,E_No Metal identified,0.0
1953,2018 TW7,3.1860000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1954,2018 TV7,2.68,0,MBA,0.0,zero,E_No Metal identified,0.0
1955,2018 TU7,3.148,0,MBA,0.0,zero,E_No Metal identified,0.0
1956,2018 TS7,2.778,0,MBA,0.0,zero,E_No Metal identified,0.0
1957,2018 TR7,3.9619999999999997,0,OMB,0.0,zero,E_No Metal identified,0.0
1958,2018 TN7,2.733,0,MBA,0.0,zero,E_No Metal identified,0.0
1959,2018 TM7,2.235,0,MBA,0.0,zero,E_No Metal identified,0.0
1960,2018 TL7,2.3209999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1961,2018 TK7,2.852,0,MBA,0.0,zero,E_No Metal identified,0.0
1962,2018 TE7,2.2840000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1963,2018 TC7,2.2119999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
