,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
98,Tapio,2.299,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
99,Heracles,1.834,>100 trillion,APO,110.0,Too Much,A_High Metal Content,110000000000000.0
100,Sigurd,1.392,32.74 trillion,APO,32.74,trillion,B_Metal Content,32740000000000.004
101,Munroe,2.202,5.40 trillion,MBA,5.4,trillion,B_Metal Content,5400000000000.0
102,Orchis,2.419,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
103,Pyotr Pervyj,2.331,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
104,1991 WA,1.575,698.20 million,APO,698.2,million,D_Very low Content,698200000.0
105,2002 AD9,1.7730000000000001,1.54 trillion,APO,1.54,trillion,B_Metal Content,1540000000000.0
106,1991 AM,1.6980000000000002,2.42 billion,APO,2.42,billion,C_Low Metal Content,2420000000.0
107,1974 MA,1.786,5.55 billion,APO,5.55,billion,C_Low Metal Content,5550000000.0
108,Yakhontovia,2.61,95.95 trillion,MBA,95.95,trillion,B_Metal Content,95950000000000.0
109,Lilliputia,2.313,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
110,Syringa,2.6289999999999996,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
111,Bryantsev,2.4530000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
112,1991 XB,2.952,323.81 billion,AMO,323.81,billion,C_Low Metal Content,323810000000.0
113,2002 BP26,1.6969999999999998,16.01 billion,AMO,16.01,billion,C_Low Metal Content,16010000000.000002
114,2000 YO29,1.815,754.75 billion,APO,754.75,billion,C_Low Metal Content,754750000000.0
115,Toyota,2.22,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
116,Rudra,1.74,90.46 trillion,MCA,90.46,trillion,B_Metal Content,90460000000000.0
117,Leonardo,2.351,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
118,Mukai,2.184,85.23 trillion,MBA,85.23,trillion,B_Metal Content,85230000000000.0
119,Olmstead,2.366,76.85 trillion,MCA,76.85,trillion,B_Metal Content,76850000000000.0
120,2001 TX16,3.5789999999999997,23.04 trillion,OMB,23.04,trillion,B_Metal Content,23040000000000.0
121,Eichhorn,2.335,38.37 trillion,MBA,38.37,trillion,B_Metal Content,38370000000000.0
122,Parvulesco,2.426,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
123,Beatty,2.387,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
124,Boznemcova,2.54,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
125,Storeria,2.365,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
