des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2016 NT22,13,2455586.130369932,2011-Jan-24 15:08,0.0174467278842092,0.0174459638063377,0.0174474920036472,24.7817695814373,24.7811074172526,< 00:01,19.5,       (2016 NT22)
2013 RG,5,2455587.978585123,2011-Jan-26 11:29,0.0448464853293,0.0318186352272032,0.0629689238269931,16.120707842394,16.1203118389151,1_00:09,29.4,       (2013 RG)
2014 QY432,7,2455599.996577341,2011-Feb-07 11:55,0.033049337723024,0.0318418879715914,0.0347079318026302,11.2418336107541,11.2410630246777,08:49,20.9,       (2014 QY432)
2017 EV,5,2455606.500063788,2011-Feb-14 00:00,0.0285677820839156,0.0266186963360845,0.0606818085342329,9.87059842148151,9.86958308844718,13:48,26.8,       (2017 EV)
2019 AQ5,7,2455608.640839453,2011-Feb-16 03:23,0.0496043986670178,0.0411197910095966,0.0652601076588055,6.92956800024759,6.92873507516942,1_01:18,25.4,       (2019 AQ5)
23714,79,2455621.958001594,2011-Mar-01 11:00,0.0376055743950044,0.0376049022587536,0.0376062465463127,12.8403850773225,12.8397921711947,< 00:01,16.6, 23714 (1998 EC3)
2020 DS,4,2455627.681526969,2011-Mar-07 04:21,0.0303710589786492,0.0180169716925953,0.244909191274655,9.45192253878328,9.45092518552351,20:24,24.783,       (2020 DS)
142561,237,2455633.302580025,2011-Mar-12 19:16,0.0222026074619104,0.0222024375978492,0.0222027773263136,10.2816625192543,10.2804083234297,< 00:01,18.1,142561 (2002 TX68)
85182,89,2455637.066846398,2011-Mar-16 13:36,0.04289424647906,0.0428938323189001,0.0428946606454276,22.4698489579625,22.4695519214336,< 00:01,17.1, 85182 (1991 AQ)
2015 XN128,10,2455663.946800190,2011-Apr-12 10:43,0.0216921745884635,0.00690592082120883,0.127955902563269,9.63792148640217,9.63655202256875,5_10:02,24.4,       (2015 XN128)
2014 HO123,15,2455673.032254410,2011-Apr-21 12:46,0.0504778551763597,0.0488648050367323,0.0521272562345381,11.3211168335637,11.3206158475166,04:03,20.4,       (2014 HO123)
2014 WE120,7,2455674.165648688,2011-Apr-22 15:59,0.0172632416505877,0.0171848314649419,0.0192678693572031,9.99108434222177,9.98942434526523,02:16,24.1,       (2014 WE120)
408980,72,2455677.250079250,2011-Apr-25 18:00,0.0427060859371624,0.042705773117618,0.0427063987568695,19.4414917757189,19.4411469571202,< 00:01,18.6,408980 (2002 RB126)
2006 YE,6,2455690.639521193,2011-May-09 03:21,0.0332312015519459,0.0329667038191974,0.129060944821149,12.5581496601646,12.5574636250422,6_06:56,27.3,       (2006 YE)
2018 NB,77,2455715.685495496,2011-Jun-03 04:27,0.0477751889792256,0.0477586474939067,0.0477917306812359,9.81480933121096,9.81419876127695,00:03,19.3,       (2018 NB)
2013 VQ4,28,2455716.578033442,2011-Jun-04 01:52,0.0448178581797446,0.0448172880881535,0.0448184282764336,9.18656787081216,9.18587249714908,< 00:01,21.8,       (2013 VQ4)
2019 KU3,8,2455717.897441453,2011-Jun-05 09:32,0.0494763126460187,0.0489810322194594,0.0500474263378181,9.36447958668642,9.36386165631227,00:08,22.5,       (2019 KU3)
2015 XA352,12,2455747.252700867,2011-Jul-04 18:04,0.0307833036098855,0.0307812002558819,0.0307854076255744,3.32915123470536,3.32635650530379,< 00:01,21.9,       (2015 XA352)
2018 JG3,4,2455762.869988825,2011-Jul-20 08:53,0.042892855069806,0.0398020824398768,0.135766688778337,15.6048408806208,15.6044131524651,4_08:31,26.0,       (2018 JG3)
2018 LQ15,12,2455776.604498391,2011-Aug-03 02:30,0.0344296066578304,0.0344256149750463,0.0344335990379123,9.46487031725195,9.46399174068662,< 00:01,20.8,       (2018 LQ15)
2008 GW20,19,2455793.618968076,2011-Aug-20 02:51,0.0271002772460539,0.00368170740715706,0.0976112827704211,16.7444103284452,16.7437794135557,4_12:57,22.1,       (2008 GW20)
2015 HC1,10,2455795.956980165,2011-Aug-22 10:58,0.0463717248713082,0.0433868564029402,0.0621169524592476,6.75027835949959,6.74936369741091,1_09:52,27.1,       (2015 HC1)
2009 YV6,18,2455821.912584111,2011-Sep-17 09:54,0.0376339306725002,0.0376315716512553,0.0376362897563136,9.46568614525164,9.46488244714834,< 00:01,20.9,       (2009 YV6)
2009 FX4,11,2455841.985471353,2011-Oct-07 11:39,0.0279956774944793,0.027301845472732,0.0418353504772748,7.30405450042319,7.30265429153679,07:30,25.4,       (2009 FX4)
141765,136,2455852.936793047,2011-Oct-18 10:29,0.0323193712397533,0.0323185235423949,0.0323202189372807,15.5049254752515,15.504354152391,< 00:01,16.3,141765 (2002 MP3)
1997 WQ23,40,2455856.311009279,2011-Oct-21 19:28,0.0136957354328403,0.0136953547572913,0.0136961161091616,10.1497083704811,10.1476486355512,< 00:01,20.7,       (1997 WQ23)
2019 XP1,2,2455892.702622173,2011-Nov-27 04:52,0.0485536901368678,0.0466696276241872,0.303160315373774,7.90958886533628,7.90884336043689,5_10:53,25.0,       (2019 XP1)
2019 CD5,24,2455922.544645538,2011-Dec-27 01:04,0.0234870692845237,0.0234178603375715,0.0235570953887376,17.6632520324342,17.6625619274309,00:15,22.0,       (2019 CD5)
2005 OE3,52,2455934.390785797,2012-Jan-07 21:23,0.0505546612693534,0.0505536951843571,0.0505556273727327,12.9265828628876,12.9261447675746,< 00:01,20.3,       (2005 OE3)
2012 KX,29,2455955.938717732,2012-Jan-29 10:32,0.0195483363281505,0.0194507423761872,0.0196479702427226,13.3678468188441,13.3667512170839,01:12,23.5,       (2012 KX)
477492,32,2455960.572195346,2012-Feb-03 01:44,0.0373902540932619,0.0373892698679366,0.03739123831904,23.2044145038834,23.2040845294868,< 00:01,19.5,477492 (2010 CG19)
2010 VS71,11,2455967.200725364,2012-Feb-09 16:49,0.052016346653183,0.0162163766219775,0.138535333213959,15.640424818508,15.6400729157415,4_07:20,23.7,       (2010 VS71)
2012 QB18,11,2455998.834140266,2012-Mar-12 08:01,0.0263986097501192,0.0260605331217997,0.0267425303691495,13.5827985900212,13.5820001383487,05:18,24.0,       (2012 QB18)
2014 OA339,7,2456034.880333250,2012-Apr-17 09:08,0.032588946146082,0.032571615252965,0.0326062778681928,6.65559622331507,6.65427616847396,00:03,24.4,       (2014 OA339)
2011 YZ62,6,2456040.625396274,2012-Apr-23 03:01,0.023175663328893,0.0228250737886108,0.0240015016520685,12.2022066702828,12.2011942667454,15:16,25.7,       (2011 YZ62)
2012 BO11,13,2456068.324940191,2012-May-20 19:48,0.0309146317225672,0.0298162238437013,0.0320292757694542,8.4267628509145,8.42566382063193,10:59,26.0,       (2012 BO11)
2012 CQ46,4,2456071.638790777,2012-May-24 03:20,0.0409454719667846,0.0331307603739953,0.0497509578533274,8.81350938353766,8.81271602229339,5_17:00,27.2,       (2012 CQ46)
2011 YA63,8,2456088.916568418,2012-Jun-10 10:00,0.0304532887284727,0.0300386018286712,0.0308936461788158,6.62647236156347,6.62505351284103,06:22,24.6,       (2011 YA63)
2008 HC2,19,2456097.474837904,2012-Jun-18 23:24,0.046295797327026,0.0462940970840135,0.0462974975705148,18.6866798364395,18.6863489063023,< 00:01,19.7,       (2008 HC2)
2015 VR1,27,2456100.590849791,2012-Jun-22 02:11,0.0346411220903367,0.0346373845830084,0.0346448599253837,13.4694874740391,13.4688738914089,< 00:01,20.9,       (2015 VR1)
2011 TP6,15,2456104.511993106,2012-Jun-26 00:17,0.0373966666582397,0.0372826831789664,0.037510964238571,5.55626380076505,5.55488581638851,01:15,25.5,       (2011 TP6)
2018 VJ10,1,2456137.078382706,2012-Jul-28 13:53,0.0408512568200522,0.00561983591582729,0.196981227562467,9.95949417308778,9.95879048722634,5_07:22,28.6,       (2018 VJ10)
2015 MO66,20,2456180.848069098,2012-Sep-10 08:21,0.00962604968920121,0.00962464511822337,0.0096274542724019,13.8359411643672,13.8337914383078,< 00:01,20.1,       (2015 MO66)
2015 BD509,11,2456212.255517947,2012-Oct-11 18:08,0.0507158749093836,0.0350038984411378,0.10139614249413,12.9270617123653,12.9266250258532,1_14:03,23.3,       (2015 BD509)
2019 XG2,7,2456223.748072125,2012-Oct-23 05:57,0.0371040970829321,0.0361932561161328,0.0562210439805765,10.5270143034334,10.5262813198868,1_14:16,23.6,       (2019 XG2)
2016 NA1,39,2456223.812383068,2012-Oct-23 07:30,0.0284801719677726,0.0209445483247172,0.037379880194923,11.1264227789488,11.1255192841545,22:20,22.1,       (2016 NA1)
2019 AH12,2,2456234.809472927,2012-Nov-03 07:26,0.0522454275680958,0.00511042852995892,0.117491164024796,11.2848989495251,11.2844133597108,07:43,26.7,       (2019 AH12)
2019 KR5,5,2456244.085338129,2012-Nov-12 14:03,0.0528482957984147,0.0528372235982898,0.0569677779506341,10.3665224522843,10.3659998719606,2_01:23,22.3,       (2019 KR5)
438661,42,2456255.610550535,2012-Nov-24 02:39,0.00680382338007759,0.0068033786796302,0.00680426809473852,9.59650549274239,9.59211978902238,< 00:01,19.3,438661 (2008 EP6)
2018 CB,33,2456277.305040826,2012-Dec-15 19:19,0.0367997978329452,0.036767945577182,0.0368316670892049,7.26517789947063,7.26410700541047,00:02,25.9,       (2018 CB)
