des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
215588,98,2456071.608402541,2012-May-24 02:36,0.0536854963265556,0.0536853228812581,0.0536856697724787,11.3927715495852,11.392530757392,< 00:01,19.4,215588 (2003 HF2)
2017 WG14,4,2456095.096666740,2012-Jun-16 14:19,0.0331042883957542,0.00270924789180514,0.19430070981704,34.9743133775748,34.9741861762865,4_17:29,24.5,       (2017 WG14)
164294,19,2456095.669430253,2012-Jun-17 04:04,0.0536878655601666,0.0536857709391424,0.0536899608777981,23.5326611885425,23.5325446208849,< 00:01,20.4,164294 (2004 XZ130)
66146,287,2456105.374600639,2012-Jun-26 20:59,0.0288175808723172,0.0288172285896028,0.0288179331552134,14.0970810730917,14.0967185438518,< 00:01,14.5, 66146 (1998 TU3)
2015 WZ12,12,2456111.714392470,2012-Jul-03 05:09,0.0329744499855712,0.0322466766926859,0.0337685513788643,17.5249471499718,17.5246922950326,07:20,26.3,       (2015 WZ12)
2013 DF,6,2456125.772714384,2012-Jul-17 06:33,0.0294666251760204,0.0235493868738604,0.0358046594900205,13.1169700297946,13.1165889933141,1_14:21,24.6,       (2013 DF)
2011 CD66,6,2456139.454689357,2012-Jul-30 22:55,0.0445016493958861,0.044207887649758,0.054168492688461,15.25010702989,15.2498900206306,4_07:01,26.9,       (2011 CD66)
455184,49,2456142.152042198,2012-Aug-02 15:39,0.0523974595525497,0.052396098478351,0.0523988206301439,21.2820241427982,21.2818920733512,< 00:01,20.8,455184 (2000 ED14)
2018 GY4,17,2456163.128856276,2012-Aug-23 15:06,0.0281644352212733,0.0281606697040876,0.0281682335370362,37.1758845546429,37.1757438972258,00:01,19.0,       (2018 GY4)
503941,77,2456197.509654726,2012-Sep-27 00:14,0.0353305932822858,0.0353303723410167,0.0353308142238239,25.855073803638,25.8549125799631,< 00:01,19.5,503941 (2003 UV11)
2017 YN6,5,2456197.652185480,2012-Sep-27 03:39,0.024905529038286,0.0244512282092607,0.0253601431354645,17.8184790089373,17.8181471436582,05:00,19.9,       (2017 YN6)
2013 RG74,8,2456213.347638306,2012-Oct-12 20:21,0.0293087592746764,0.0275393418362347,0.031157877557596,37.5750797137665,37.574945984149,02:33,23.3,       (2013 RG74)
2020 RS3,10,2456264.520413361,2012-Dec-03 00:29,0.0180522607215716,0.014659832555034,0.0215709041040055,17.9976561647371,17.9972028685191,11:19,22.775,       (2020 RS3)
2019 UT8,2,2456277.755071907,2012-Dec-16 06:07,0.0517866761635466,0.0453060971540224,0.0860205701415242,10.0049962013064,10.0047119546414,8_07:46,27.2,       (2019 UT8)
2015 DC200,31,2456285.873817685,2012-Dec-24 08:58,0.0502550972530157,0.0502512282476562,0.0502589662723101,40.1325035072283,40.1324304861572,< 00:01,20.5,       (2015 DC200)
2004 XK14,29,2456300.085363854,2013-Jan-07 14:03,0.0403570848183285,0.0403561229650121,0.0403580468467349,17.3932555480309,17.3930457380577,00:01,22.4,       (2004 XK14)
2018 CW2,4,2456307.574410068,2013-Jan-15 01:47,0.0226452799769003,0.0226371894621175,0.0226533929581648,14.3074701836041,14.3070156243233,00:06,25.5,       (2018 CW2)
2010 VP21,16,2456314.576527107,2013-Jan-22 01:50,0.0490791810269755,0.0310445363792385,0.068015213351208,34.2662660859493,34.2661785148828,14:11,23.4,       (2010 VP21)
2016 EB27,8,2456319.758803644,2013-Jan-27 06:13,0.0318872238970485,0.031426106846062,0.207832280744837,34.3079232188862,34.3077885975535,5_19:50,22.9,       (2016 EB27)
2013 GV68,33,2456323.701804930,2013-Jan-31 04:51,0.0455651727369474,0.0455627502497328,0.0455675959841252,32.8827502286938,32.8826519354497,< 00:01,18.9,       (2013 GV68)
338292,77,2456368.374939518,2013-Mar-16 21:00,0.023417595247412,0.0234169731243751,0.0234182176424466,35.1756729592887,35.1754941703824,< 00:01,19.0,338292 (2002 UA31)
455176,43,2456373.067474671,2013-Mar-21 13:37,0.0536884681078076,0.0536878608736415,0.0536890753448547,29.0567745947678,29.0566801894491,< 00:01,20.7,455176 (1999 VF22)
2012 XE133,17,2456374.558650479,2013-Mar-23 01:24,0.0477298256968463,0.0472747000941889,0.048197814484371,20.8640311496745,20.8638832600716,03:36,23.4,       (2012 XE133)
2012 XS111,25,2456395.576437676,2013-Apr-13 01:50,0.0459325005472206,0.0459306428025521,0.0459343582919048,19.9902237121291,19.9900633181088,< 00:01,22.0,       (2012 XS111)
2010 KC,7,2456426.336795328,2013-May-13 20:05,0.0436274784567508,0.0435945626756245,0.0436603970529331,22.8018069371796,22.80165889134,< 00:01,24.1,       (2010 KC)
432509,31,2456430.300036256,2013-May-17 19:12,0.035914948418236,0.0359136089279037,0.0359162880069026,26.3525067860856,26.3523511793917,< 00:01,19.5,432509 (2010 FF7)
2019 TA7,3,2456448.193872686,2013-Jun-04 16:39,0.048949853455406,0.0244459889429177,0.116911078356089,13.3192080489394,13.3189821583918,6_04:59,26.3,       (2019 TA7)
2013 QN10,17,2456455.443679962,2013-Jun-11 22:39,0.0504208722776431,0.0504165143138129,0.0504252303401901,16.5398822549384,16.5397056577746,< 00:01,22.2,       (2013 QN10)
2015 TG24,7,2456463.122098267,2013-Jun-19 14:56,0.0348395766235542,0.0309040937846673,0.0390445956974162,14.5393262740174,14.539035529613,17:25,26.7,       (2015 TG24)
2015 FA285,8,2456483.142161493,2013-Jul-09 15:25,0.0375407229888229,0.026243460694752,0.0524595292665618,15.7681026056266,15.7678538084023,1_16:50,26.4,       (2015 FA285)
2014 CE13,5,2456493.861023382,2013-Jul-20 08:40,0.0428834571396641,0.0418628561936389,0.0838129899867859,24.989848960341,24.9897115333786,3_04:43,24.0,       (2014 CE13)
363734,50,2456499.946860541,2013-Jul-26 10:43,0.0417831481283737,0.0417816779710576,0.0417846183033677,30.194684878694,30.1945681457728,< 00:01,18.8,363734 (2004 XN50)
2013 JX28,15,2456519.740502616,2013-Aug-15 05:46,0.0427647770799591,0.0427570431080474,0.0427725113158248,25.588660294861,25.5885257114426,< 00:01,20.1,       (2013 JX28)
2013 VA10,23,2456539.375733005,2013-Sep-03 21:01,0.021132358765726,0.0211322394576946,0.0211324782267877,41.8614606696285,41.8612941893918,< 00:01,22.2,       (2013 VA10)
2020 CA,1,2456556.202553696,2013-Sep-20 16:52,0.0391656422672296,0.0376208886097298,0.041136985308433,14.5374231238483,14.5371644602267,21:14,29.587,       (2020 CA)
226514,74,2456560.909065276,2013-Sep-25 09:49,0.0165780768914308,0.016577883735518,0.0165782700486037,20.3014534966014,20.3010159064163,< 00:01,20.1,226514 (2003 UX34)
2013 BT18,22,2456631.394989233,2013-Dec-04 21:29,0.0327453503080304,0.0327440094852164,0.0327466911312241,33.8395737515739,33.8394408437638,< 00:01,23.4,       (2013 BT18)
2014 YR15,21,2456643.691545112,2013-Dec-17 04:36,0.0309908885310095,0.0309891421097207,0.0309926349969044,17.0564203300056,17.0561417141657,< 00:01,21.5,       (2014 YR15)
2005 YQ96,31,2456651.391404409,2013-Dec-24 21:24,0.0467378787055892,0.0467362345788135,0.046739522878316,22.4902107823728,22.4900706743501,< 00:01,20.4,       (2005 YQ96)
